name,slug,%,date_of_information,ranking,region
"Haiti","haiti","15.1","2024",173,"Central America and the Caribbean"
"Iraq","iraq","15.6","2024",174,"Middle East"
"Lesotho","lesotho","16.2","2024",175,"Africa"
"Tunisia","tunisia","16.3","2024",176,"Africa"
"Yemen","yemen","17.1","2024",177,"Middle East"
"Jordan","jordan","18","2024",178,"Middle East"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","18.1","2024",179,"Central America and the Caribbean"
"Libya","libya","18.7","2024",180,"Africa"
"Somalia","somalia","18.9","2024",181,"Africa"
"Namibia","namibia","19.2","2024",182,"Africa"
"Congo, Republic of the","congo-republic-of-the","19.7","2024",183,"Africa"
"Gabon","gabon","20.1","2024",184,"Africa"
"Botswana","botswana","23.2","2024",185,"Africa"
"West Bank","west-bank","24.5","2022",186,"Middle East"
"Gaza Strip","gaza-strip","24.5","2022",187,"Middle East"
"Djibouti","djibouti","25.9","2024",188,"Africa"
"South Africa","south-africa","33.2","2024",189,"Africa"
"Eswatini","eswatini","34.4","2024",190,"Africa"
